RIAccount,Account,Subaccount,Lawson Account
1099,976900,18021,976900-18021
1100,976900,18021,976900-18021
1101,976900,18021,976900-18021
1098,976900,18022,976900-18022
1115,976900,18021,976900-18021
1157,976900,18021,976900-18021
68,976900,18012,976900-18012
69,976900,18012,976900-18012
1137,976900,18012,976900-18012
1450,976900,18012,976900-18012
1451,976900,18012,976900-18012
2330,976900,18012,976900-18012
38,976900,18011,976900-18011
39,976900,18011,976900-18011
1376,976900,18011,976900-18011
1377,976900,18011,976900-18011
1730,976900,18011,976900-18011
1504,976900,18011,976900-18011
1131,976900,18011,976900-18011
1428,976900,18011,976900-18011
1429,976900,18011,976900-18011
1167,976900,18011,976900-18011
1207,976900,18011,976900-18011
1209,976900,18011,976900-18011
76,976900,18012,976900-18012
77,976900,18012,976900-18012
1454,976900,18012,976900-18012
1455,976900,18012,976900-18012
1446,976900,18012,976900-18012
1447,976900,18012,976900-18012
106,976900,18013,976900-18013
1483,976900,18013,976900-18013
1481,976900,18013,976900-18013
1468,976900,18013,976900-18013
1469,976900,18013,976900-18013
113,976900,18013,976900-18013
1490,976900,18013,976900-18013
1141,976900,18011,976900-18011
1829,976900,18011,976900-18011
1832,976900,18011,976900-18011
1175,976900,18011,976900-18011
2333,976900,18011,976900-18011
104,976900,18013,976900-18013
1465,976900,18013,976900-18013
1811,976900,18013,976900-18013
2319,976900,18013,976900-18013
1814,976900,18013,976900-18013
101,976900,18013,976900-18013
1463,976900,18013,976900-18013
1809,976900,18013,976900-18013
2317,976900,18013,976900-18013
1812,976900,18013,976900-18013
78,976900,18012,976900-18012
84,976900,18012,976900-18012
79,976900,18012,976900-18012
85,976900,18012,976900-18012
1456,976900,18012,976900-18012
1457,976900,18012,976900-18012
36,976900,18011,976900-18011
37,976900,18011,976900-18011
1130,976900,18011,976900-18011
74,976900,18012,976900-18012
75,976900,18012,976900-18012
105,976900,18013,976900-18013
1410,976900,18011,976900-18011
1411,976900,18011,976900-18011
1412,976900,18011,976900-18011
1413,976900,18011,976900-18011
1508,976900,18011,976900-18011
1509,976900,18011,976900-18011
1510,976900,18011,976900-18011
1511,976900,18011,976900-18011
